title,agency,career_level,salary_range_from,salary_range_to
Program Administrative Coordinator- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,90773
IT Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,119883
Field Technician,DEPT OF PARKS & RECREATION,Experienced (non-manager),60000,67000
Police Administrative Aide,POLICE DEPARTMENT,Entry-Level,39763,60350
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
Instrumentation Specialist 1,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,58615,60764
RESIDENT BUILDING SUPERINTENDENT,NYC HOUSING AUTHORITY,Experienced (non-manager),60171,93630
Senior Advisor to the VP for Public Safety and Security,NYC HOUSING AUTHORITY,Experienced (non-manager),64749,134280
ELIGIBILITY VERIFICATION SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Licensing Initiatives Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),62470,80008
Unit Head FEMA Insurance and Contract Administration,OFFICE OF MANAGEMENT & BUDGET,Manager,103307,103307
Senior Policy Advisor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56972,155020
Special Assistant for Assistant Commissioner- Bureau of Human Resources and Labor Relations,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),74710,80568
Transportation Specialist â School Safety,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Relay Assistant Director- Relay Operations- Bureau of Alcohol and Drug Use- Prevention- Care- and Treatment,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),89612,97138
Assistant Director,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),70611,105138
AGENCY ATTORNEY II,HUMAN RIGHTS COMMISSION,Experienced (non-manager),71423,82137
Senior Software Developer,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),100000,127000
Solution Architect CAD,FIRE DEPARTMENT,Experienced (non-manager),75000,140000
Assistant Analyst  Citywide Savings,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,51550
Forensic Pathology Coordinator I,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,56672,56672
GIS Editor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56069,78142
